gid,ws_cnt,found_age_1,found_age_2,found_age_3,found_age_4,found_age_5,found_age_6,runout_cnt,smbiz_yn_cnt,rpr_per_gender_m,rpr_per_gender_f,rpr_per_age_bin_10,rpr_per_age_bin_20,rpr_per_age_bin_30to50,rpr_per_age_bin_50over,sme_loan_cnt,sme_loan_y_1,sme_loan_y_2,sme_loan_y_3,sme_loan_y_4,sme_loan_y_5,sme_loan_y_6,sales_est_amt_201703,sales_est_amt_201706,sales_est_amt_201709,sales_est_amt_201712,sales_est_amt_201803,sales_est_amt_201806,sales_est_amt_201809,sales_est_amt_201812,sales_est_amt_201903,sales_est_amt_201906,sales_est_amt_201909,sales_est_amt_201912,sales_est_amt_202003,sales_est_amt_202006,sales_est_amt_202009,age10_ratio,age20_ratio,age30_ratio,age40_ratio,age50_ratio,age60_ratio,age70_ratio,indcd_a_yn,indcd_b_yn,indcd_c_yn,indcd_d_yn,indcd_e_yn,indcd_f_yn,indcd_g_yn,indcd_h_yn,indcd_i_yn,indcd_j_yn,indcd_k_yn,indcd_l_yn,indcd_m_yn,indcd_n_yn,indcd_o_yn,indcd_p_yn,indcd_q_yn,indcd_r_yn,indcd_s_yn,indcd_t_yn,indcd_u_yn
다사59ba28bb,2,0,1,0,0,0,1,0,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,15,13,18,33,2,0,0,1914,1370,1393,2044,2327,0.17,1.75,14.17,35.17,27.33,5.5,3.08,,,,,,,Y,,Y,,,,,,,,,,,,
다사59ba29aa,2,0,0,0,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,256,697,2896,470,59,2218,3132,680,253,1200,2817,936,0,932,895,0.08,4.56,20,14.56,14.12,7.72,7.52,,,,,,,,,Y,,,,,,,,,,,,
다사59ba30aa,4,0,0,0,3,0,1,0,3,2,2,0,0,3,1,1,0,0,0,0,1,0,647,3145,1213,1097,1702,1730,1022,883,601,1220,568,575,516,1781,187,0,3.77,23.09,29.36,20,11.14,1.09,,,,,,,Y,,Y,,,,Y,,,,,,,,
다사59bb25bb,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,93,191,241,101,4,116,143,19,482,681,191,197,291,299,43,0,0,7.33,41.07,18.93,13.67,3.8,,,,,,,,,,,,,Y,,,,,,,,
다사59bb26aa,3,1,1,0,0,1,0,0,1,2,1,0,0,3,0,1,1,0,0,0,0,0,7,1,15,5,25,0,7,2,27,391,1647,1196,1201,2211,2368,0,0.82,22.86,34.77,16.09,4.45,3.95,,,,,,,,,Y,,,,,Y,,,,,,,
다사59bb26ab,2,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2794,3894,4237,6551,6485,8478,8365,7003,7563,9007,7538,8123,5820,6714,6672,0.04,1.67,9.33,21.63,20.59,14.11,17.7,,,,,,,,,Y,,,,,,,,,,,,
다사59bb28ab,4,0,0,1,0,1,2,0,3,0,4,0,0,2,2,2,0,0,0,0,0,2,8004,13509,11308,9533,8731,13113,10786,8513,8875,11851,9881,7421,5633,8750,5981,0,2.8,15.9,22.8,26.39,11.07,3.9,,,Y,,,,Y,,Y,,,,,,,,,,,,
다사59bb28ba,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,Y,,,,,,,,,,,,,,
다사59bb28bb,2,0,1,0,0,0,1,0,2,2,0,0,0,1,1,1,0,0,0,0,0,1,306,1860,932,1163,339,1392,1163,379,225,1922,1289,1335,550,1410,1186,0.22,8.44,16.72,26.06,18.78,7,3.56,,,,,,,,,Y,,,,,,,,,,,,
다사59bb29aa,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,419,913,956,566,605,1364,1144,728,217,847,0,0,0,0,737,0.09,3.73,12,28.18,27.18,12.55,4.82,,,,,,,,,Y,,,,,,,,,,,,
다사60aa24ba,3,0,0,0,1,1,1,0,3,1,2,0,0,1,2,1,0,0,0,0,0,1,262,524,3028,1712,1574,1245,1410,1133,960,2097,1234,2426,1353,2501,2854,0,1.14,36.51,13.91,22.98,4.44,2.67,,,,,,,,,Y,,,,,,,,,,Y,,
다사60aa26aa,7,0,0,2,2,0,3,0,2,3,4,0,1,4,2,5,0,1,0,1,1,2,1645,5171,7211,6703,8511,10315,12082,9455,10958,12457,12515,12733,9568,11591,9937,0.01,3,10.01,22.6,26.94,12.18,7.03,,,,,,,Y,,Y,,,,,,,,,Y,,,
다사60aa26ab,2,0,0,0,0,0,2,0,0,1,1,0,0,2,0,2,0,0,0,1,0,1,4055,5068,5046,3949,3852,4268,4423,3942,3854,5118,4806,4473,4304,5355,5368,0.03,1.5,38.07,28.67,10,7.03,5.27,,,,,,,,,Y,,,,,,,,Y,,,,
다사60aa28ba,5,0,0,0,3,2,0,0,5,3,2,0,1,2,2,2,0,0,0,0,1,1,216,407,338,233,140,203,400,423,249,1016,486,1462,973,1123,127,0,1.54,7.82,13.34,17.52,1.06,6.56,,,,,,,,,Y,,,,,,,,,,,,
다사60aa28bb,6,0,1,1,0,0,4,0,4,0,6,0,0,3,3,1,0,0,1,0,0,0,368,2656,4336,1684,285,3240,5794,2741,1378,4175,6196,3015,1553,3242,3874,0.19,7.1,12.22,23.79,18.86,6.51,4.9,,,,,,,Y,,Y,,,,,,,,,,,,
다사60ab26aa,11,1,2,1,1,3,3,0,3,5,6,0,0,9,2,9,0,1,2,2,3,1,5741,9914,13280,11316,11302,13361,14475,12588,12513,15321,18885,17497,14720,18171,16653,0.07,1.85,14.73,33.39,17.68,10.65,9.4,,,,,,,Y,,Y,,,,,,,,,,Y,,
다사60ab27ab,2,0,0,0,1,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,14,57,7,0,26,162,159,0,43,59,67,50,9,0,0,5,0.67,22,25.67,7.75,0,,,,,,,Y,,Y,,,,,,,,,,,,
다사60ab28bb,5,0,1,1,1,0,2,0,2,3,2,0,1,2,2,3,0,0,0,0,1,2,2200,4460,3497,2262,2262,3147,3165,3172,3721,5228,4431,3034,2069,3382,4326,0.04,5.02,21.89,22.89,11.72,4.76,4.67,,,Y,,,,,,Y,,,,,,,Y,,,,,
다사60ab29aa,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,226,541,821,186,105,807,1899,229,237,380,764,103,70,255,146,0,2.13,11.67,21.07,20.13,12.8,5.2,,,,,,,,,Y,,,,,,,,,,,,
다사60ab29ab,3,0,0,0,0,1,2,0,2,1,2,0,0,1,2,3,0,0,0,0,2,1,871,839,782,658,690,766,862,1048,917,1347,909,988,885,777,980,0,0.73,3.39,14.25,27.93,17.93,8.75,,,Y,,,,Y,,Y,,,,,,,,,,,,
다사60ba24ab,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,35,185,190,116,132,186,177,174,53,48,52,0,5.18,24.09,28.55,12.55,6.45,3.55,,,,,,,,,Y,,,,,,,,,,,,
다사60ba24ba,4,0,1,1,1,0,1,0,2,2,2,0,1,3,0,2,0,0,0,0,1,1,4532,4679,5065,4902,6658,7135,8664,6070,11208,8660,10289,10239,8424,5987,8976,0,0.34,34.89,26.86,3.98,2.91,1.82,,,,,,,,,Y,,,,,,,Y,,,Y,,
다사60ba24bb,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1347,1325,1665,1731,1855,1941,2284,2287,1872,906,1242,1275,985,371,427,0,0,61.73,38.27,0,0,0,,,,,,,,,,,,,,,,,Y,,,,
다사60ba25aa,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,183,199,221,144,129,260,221,140,0,5.13,30,22,11.13,15.25,3.13,,,,,,,,,Y,,,,,,,,,,,,
다사60ba25bb,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,9990,9372,9071,8806,9492,9922,9776,9475,9443,9321,9704,8911,9437,9400,9414,0,2.13,15.53,33.87,21.47,9.87,6.13,,,,,,,,,Y,,,,,,,,,,,,
다사60ba26aa,12,2,2,3,0,0,5,0,5,5,7,0,0,9,3,7,1,0,1,2,0,3,6868,7233,7113,7490,7264,6879,9809,10808,11693,13767,15330,14947,10244,13605,15170,0.25,3.15,11.55,25.9,24.07,12.33,7.23,,,,,,,Y,,Y,,,,,,,,,,Y,,
다사60ba28aa,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,69,59,31,162,14,29,44,33,456,62,23,0,1.45,43.73,36.27,2.09,8.64,1.64,,,,,,,,,,,,,,Y,,,,,,,
다사60ba28bb,4,0,0,0,0,0,3,1,1,1,3,0,0,3,1,2,0,0,0,0,0,2,4738,13959,16909,7145,6765,13880,18213,7876,6245,13133,17085,9813,6961,12991,12965,0.02,4.28,18.05,28.73,15.28,6,4,,,,,,,,,Y,,,,,,,,,,,,
다사60ba29aa,5,0,1,0,0,1,3,0,4,2,3,0,0,3,2,5,0,0,1,0,2,2,712,2626,3116,2598,2010,2811,3303,2000,1963,4270,5647,4034,3427,6247,6765,0.35,8.94,22.29,29.1,16.16,4.47,2.16,,,,,,,Y,,Y,,,,,,,,,,,,
다사60bb24ab,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,5,15,2,0,0,0,0,18,0,31,0,0,0,0,5.5,37.33,14,33.33,1.67,0,,,,,,,Y,,,,,,,,,,,,,,
다사60bb24ba,8,0,1,2,0,0,4,1,7,2,6,0,0,6,2,2,0,0,0,1,0,1,552,850,1074,964,770,939,1408,1405,1581,1904,1721,1355,1920,1417,1557,0.53,3.71,19.51,29.91,19.58,7.71,2.78,,,Y,,,,Y,,Y,,,,,,,Y,,Y,,,
다사60bb25aa,2,0,2,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,1225,961,719,1844,2333,2062,0.1,5.1,21.4,32.2,18.7,4.7,8.4,,,,,,,,,Y,,,,,,,,,,Y,,
다사60bb25bb,4,0,0,0,1,0,2,1,3,4,0,0,0,4,0,1,0,0,0,1,0,0,1860,7602,8253,7852,6606,7798,6302,7322,6616,6908,6285,6067,3566,4654,4570,0,1.83,13.11,43.43,16.36,10.79,6.81,,,,,,,,,Y,,,,,,,,,Y,,,
다사60bb26aa,6,0,2,1,1,0,1,1,4,4,2,0,0,6,0,2,0,1,0,0,0,1,4629,4852,5360,4453,4365,5577,6187,5096,5003,5616,5397,4162,2591,1559,1400,0.18,2.64,13.68,30.18,19.91,11.21,7.46,,,,,,,,,Y,,,,,Y,,,,Y,,,
다사60bb26ab,2,0,0,1,1,0,0,0,2,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,100,566,402,769,690,647,717,636,711,688,516,781,743,1.05,4.8,15.35,36.9,28.75,7.1,1.4,,,,,,,Y,,,,,,,,,Y,,,,,
다사60bb27ab,2,0,0,0,1,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,0,0,755,3,580,209,142,253,652,512,49,114,130,342,44,74,80,0,0.88,2.76,28.82,31.71,16.88,5.06,,,Y,,,,,,,,,,,,,,,,,,
다사60bb27ba,3,0,2,0,1,0,0,0,3,2,1,0,0,3,0,2,0,0,0,1,1,0,0,0,13,318,396,214,716,480,343,1167,759,1467,835,1170,1007,0,6.88,28.15,30.42,12.46,11.5,3.54,,,,,,,Y,,Y,,,,,,,,,,,,
다사60bb29aa,8,2,1,1,0,2,2,0,5,4,4,0,1,6,1,5,0,0,1,1,0,3,4333,6901,6308,4315,4298,6532,6646,4716,4753,7669,8896,5463,4327,7867,8461,0.05,4.61,18.04,29.29,22.98,10.35,6.19,,,,,,,Y,,Y,,,,,,,,Y,,,,
다사61aa24aa,5,0,1,0,1,1,2,0,4,3,2,0,0,5,0,4,0,1,0,2,0,1,1980,2500,2390,2708,2713,3071,3017,2883,2589,3167,3370,2613,2568,2816,2816,2.42,3.79,18.15,42.02,15.95,5.89,3.16,,,,,,,Y,,,,,,,,,Y,,,Y,,
다사61aa24ab,4,0,2,1,0,0,1,0,3,1,3,0,1,3,0,1,0,0,0,0,1,0,194,346,263,195,163,822,1339,1463,1408,1428,1437,1582,1438,1277,1591,0.75,4.04,13.57,31.21,21.5,7.96,4.04,,,,,,,Y,,Y,,,,,,,Y,,,,,
다사61aa24ba,21,0,3,1,3,5,9,0,11,13,8,0,1,19,1,6,0,0,0,3,2,1,18214,20561,20373,22417,22648,23991,24922,24796,23019,26332,23125,23370,21710,21956,23214,2.22,3.61,15.03,33.63,20,8.94,5.28,,,,,,,Y,,Y,,,,,,,Y,Y,,Y,,
다사61aa24bb,2,0,0,0,0,0,2,0,1,1,1,0,0,2,0,1,0,0,0,0,0,1,664,915,899,884,758,1456,1268,1527,891,1483,1125,988,549,776,913,16.09,5.91,13.05,32.77,14.05,7.5,3.23,,,,,,,Y,,,,,,,,,,,,Y,,
다사61aa25aa,5,0,0,3,0,0,2,0,2,2,3,0,0,3,2,2,0,0,0,0,1,1,2919,4834,2558,2746,2808,5533,9091,7973,11190,11843,8940,7101,6533,7815,5221,1.28,4.26,12.77,20.89,30.94,16.04,5.21,,,,,,,Y,,Y,,,,,,,,Y,,,,
다사61aa26aa,3,0,0,0,1,0,2,0,3,1,2,0,0,2,1,1,0,0,0,1,0,0,1148,1165,1665,757,902,1322,1028,954,802,834,686,613,849,411,338,0.83,2.17,8.28,23.75,20.42,20.25,5.5,,,,,,,Y,,Y,,,,,,,,,,Y,,
다사61aa26ba,2,0,0,1,0,0,1,0,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,48,0,590,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,,,,,,,Y,,,,,,Y,,,,,,,,
다사61aa27aa,2,0,1,0,0,0,1,0,0,1,1,0,0,2,0,2,0,0,0,0,1,1,434,436,804,1312,1234,1073,803,1008,2853,7645,7698,6869,4694,7206,5755,0,1.18,27,51.86,6.09,3.14,3,,,,,,,,,Y,,,,,,,Y,,,,,
다사61aa27ab,4,0,1,2,0,0,1,0,3,4,0,0,0,4,0,2,0,0,0,1,0,1,0,0,75,14,680,1022,1785,3047,3051,4359,3698,3322,2602,2815,2595,0.03,5.09,26.06,38.21,11.94,4.88,3.88,,,,,,,Y,,Y,,,,,,,,,,Y,,
다사61aa27ba,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,357,725,1274,1272,1454,1690,1599,1695,1472,1665,1654,1680,919,2566,2004,0,3.07,18.73,30.4,18.13,15.6,3.87,,,,,,,,,Y,,,,,,,,,,,,
다사61aa27bb,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,592,3107,5224,4957,5698,3234,5140,4008,0,2.38,16.63,24.25,23.13,11.25,9.75,,,,,,,,,Y,,,,,,,,,,,,
다사61aa28aa,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,22,0,0,18,0,0,0,0,10.33,0,89.67,,,,,,,,,,,,,,,,,,,Y,,
다사61aa28ba,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188,58,0,0,0,0,0,0,0,0,0,0,0,50,50,0,,,,,,,Y,,,,,,,,,,,,,,
다사61aa29aa,7,0,1,1,0,2,2,1,6,3,4,0,0,7,0,3,0,0,1,1,0,1,1169,2506,2164,2352,1917,3734,3756,2205,2556,1827,2530,2673,1766,3515,1773,0.05,3.38,12.52,28.23,27.92,11.98,4.44,,,Y,,,,Y,,Y,,,,,,,,,,Y,,
다사61ab16aa,6,0,1,0,1,0,4,0,3,4,2,0,0,4,2,0,0,0,0,0,0,0,13202,15767,17457,17050,13020,13280,12635,11792,11404,10947,9472,9261,11307,10749,8306,0.29,4.17,17.17,35.81,26.49,8.88,3.14,,,,,,,Y,,,,,,,,,Y,Y,,,,
다사61ab19aa,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4482,24906,37166,33349,26988,21326,23191,0,5.71,22.43,26.71,18.57,6.43,1,,,,,,,Y,,,,,,,,,,,,,,
다사61ab22aa,4,0,3,0,0,0,1,0,3,1,3,0,1,2,1,2,0,0,0,2,0,0,199,104,176,260,9,497,25,70,35,331,218,575,353,749,500,0,1.87,19.42,17.45,24.42,18.97,4.9,,,Y,,,,Y,,,,,,,,,,,,,,
다사61ab22ab,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,22,21,19,16,54,51,22,9,28,37,181,4,28,41,0,3.71,5.57,42.86,22.21,11.93,4.36,2.57,,,,,,,Y,,,,,,,,,,,,,,
다사61ab24aa,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,333,0,0,50,50,0,0,0,,,,,,,,,,,,,,,,,,Y,,,
다사61ab24ab,4,0,0,1,0,1,2,0,3,2,2,0,0,4,0,2,0,2,0,0,0,0,856,0,0,384,998,29,174,355,1105,154,129,516,703,88,48,0.35,11.96,42.61,25.22,6.35,0.39,1.96,,,,,,,Y,,Y,,,,,Y,,,,,,,
다사61ab24ba,12,1,0,0,1,4,6,0,9,6,6,0,0,11,1,7,0,0,0,5,1,1,4992,6148,6783,5843,5979,7766,6870,7120,7719,9310,7250,7322,5438,5422,6400,1.47,2.6,22.32,51.38,9.13,4.88,1.1,,,,,,,Y,,Y,,,,,Y,,Y,,,Y,,
다사61ab24bb,2,0,0,1,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,38,0,9,71,121,142,60,7,99,111,165,107,1.83,6,48,14.33,24.42,0.5,1.17,,,,,,,Y,,,,,,,,,,,,,,
다사61ab25ba,4,0,1,2,0,0,1,0,3,1,3,0,2,2,0,2,0,1,0,1,0,0,230,289,216,183,143,302,2072,3763,3125,3115,3627,3093,2994,2936,3148,2.94,11.26,23.51,30.46,17.17,4.4,3.54,,,,,,,Y,,Y,,,,,,,,,,Y,,
다사61ab26aa,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,368,568,259,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,Y,,,,,
다사61ab26bb,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1339,1347,746,498,571,466,298,454,372,0,3.33,9.11,24,31.33,16.67,6.89,,,,,,,Y,,,,,,,,,,,,,,
다사61ab27aa,3,0,1,0,0,1,1,0,2,1,2,0,0,3,0,1,0,0,0,0,0,1,3405,2340,3259,2979,3454,3772,2874,4538,4282,4384,3673,4436,1910,2554,2206,0,0.7,41.39,43.67,6.97,2.88,0.3,,,,,,,Y,,,,,,,,,Y,,,,,
다사61ab27ab,4,0,0,0,0,0,4,0,3,3,1,0,0,1,3,1,0,0,0,0,0,1,4176,4901,2916,3714,3121,6072,4597,5176,1697,3014,1559,2659,1927,2618,1804,0,1.68,13.93,21.54,24.14,11.77,11.07,,,Y,,,,Y,,Y,,,,,,,,,,,,
다사61ab28ba,2,0,2,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,446,344,169,197,634,0,16.1,44.9,8.8,0.2,0,10,,,,,,,,,Y,,,,,,,,,Y,,,
다사61ab29aa,3,0,1,2,0,0,0,0,3,0,3,0,0,1,2,2,0,1,0,0,1,0,0,0,0,0,0,366,249,804,882,557,1118,553,815,679,414,0,0.3,16.7,16.04,39.83,16.61,6.22,,,,,,,Y,,Y,,,,,,,,,,,,
다사61ba15aa,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,,,,,,,Y,,,,,,,,,,,,,,
다사61ba15ab,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,180,338,233,230,856,642,0,0,37,43.43,0,0,0,,,,,,,,,,,,,,,,Y,,,,,
